"12/7/2009","Na decata im se raboti. ","P children.the 3Pl.Dat Refl work.Pres.3Sg ","‘The children {are in a working mood/feel like working}.’ *Someone worked on the children.","","","Present Tense","Rivero 2009","Bulgarian",""
"12/7/2009"," Na decata im se rabote\v{s}e. ","P children.the 3Pl.Dat Refl work.Imp.3Sg ","‘The children {were in a working mood/ felt like working}.’ ","","","Past Imperfect","Rivero 2009","Bulgarian",""
"12/7/2009","Na Ivan mu se pishexa mnogo statii. ","P Ivan 3Sg.Dat Refl write-Imp.3Pl many articles. ","‘Ivan felt like writing many articles.’ ","","","","Rivero 2009","Bulgarian",""
"12/7/2009"," Na Ivan mu se pisa pismoto. ","P Ivan 3Sg.Dat Refl write.Aor.3Sg letter.the ","Reading 1: (unavailable) ‘Ivan felt like writing the letter.’ Reading 2: OK ‘They/ people wrote the letter for Ivan.’","",""," Past Perfect (aorist)","Rivero 2009","Bulgarian",""
"12/7/2009","Na Ivan mu se na-pisa pismoto. ","P Ivan 3Sg.Dat Refl Pf-write.Aor.3Sg letter.the. ","Reading 1: ‘Ivan felt like writing the letter in full.’ Reading 2: OK ‘The letter was written in full for Ivan.’ ","Slaven says ok in informal northern bulgarianRivero says its bad",""," Past Perfect plus perfective prefix","Rivero 2009","Bulgarian",""
"12/7/2009","Na Ivan mu se na-pis-va-\v{s}e pismo-to. ","P Ivan 3Sg.Dat Refl Pf-write.Imp.3Sg letter-the ","‘Ivan felt like writing the letter in full.’ ","",""," past perfect plus perfective prefix and imperfect suffix","Rivero 2009","Bulgarian",""
"12/7/2009","\v{S}te mi se hap-va \v{s}okolad utre.  ","Fut 1Sg.Dat Refl eat-va.3Sg chocolate tomorrow ","‘I will feel like eating chocolate tomorrow.’ ","",""," future","Rivero 2009","Bulgarian",""
"12/7/2009"," *\v{S}te mi se hapne \v{s}okolad utre. ","Fut 1Sg.Dat Refl eat.n.3Sg chocolate tomorrow ","‘*I will feel like eating chocolate tomorrow.’ ","","","future ","Rivero 2009","Bulgarian",""
"12/7/2009"," \v{S}te mi se po-hap-va \v{s}okolad utre. ","Fut 1Sg.Dat Refl Pf-eat-va.3Sg chocolate tomorrow ","‘I will feel like having a bite of chocolate tomorrow.’ ","","","future with perfective prefix","Rivero 2009","Bulgarian",""
"12/7/2009"," *\v{S}te mi se po-hapne \v{s}okolad utre. ","Fut 1Sg.Dat Refl Pf-eat.n.3Sg chocolate tomorrow ","‘I will feel like having a bite of chocolate tomorrow.’","","","Future","Rivero 2009","Bulgarian",""
"12/7/2009","Na decata im se do-pisa. ","P children.the 3Pl.Dat Refl start-write.Aor.3Sg ","‘The children began to feel like writing.’ *The children feel like beginning to write.","",""," inceptive","Rivero 2009","Bulgarian",""
"12/7/2009","V prodalzhenie na godini, na Ivan ne mu se pisa nito edna kniga. ","For years P Ivan Neg 3Sg.Dat Refl write.Aor.3Sg not.even one book ","‘For years, Ivan did not feel like writing even a single book.’ ","",""," negation","Rivero 2009","Bulgarian",""
"12/7/2009","za decata se raboti. ","for kids.dat se work ","`Someone is working for the kids.'","",""," Benefactive","Slaven","Bulgarian",""
"12/7/2009","Na Ivan mu se pi\v{s}exa pismoto.","P Ivan dat se write.3sg.imp letter","`Ivan felt like writing a letter.’`Someone wrote a letter for Ivan.’","",""," ","Rivero 2009","Bulgarian",""
"12/7/2009","Na Ivan mu se pregrusta Joana","P Ivan CL SE hugged Joana.nom","`Ivan feels like hugging Joana.'","",""," ","Slaven","Bulgarian",""
"12/7/2009","Na Ivan mu se \v{s}te\v{s}e da bude pregurnat","P Ivan CL SE want to be hugged","`Ivan wanted to be hugged'"," Can you passivize the lower event","","Periphrastic ImpulsativePassive","Slaven","Bulgarian",""
"12/7/2009","*Na Ivan mu se da bude pregurnat","P Ivan CL.dat SE to be hugged.","`Ivan wanted to be hugged'","","","passives","Slaven","Bulgarian",""
"12/7/2009","Na Ivan mu se pisa pismoto. ","P Ivan CL.dat SE write.aor.3sg  letter ","'Ivan wanted to write a letter. ‘`Ivan wanted a letter to be written'"" ","Slaven accepted this the second time I asked, saying that it meant that what Ivan wanted was for the letter to be written.",""," Aorist","Judgement differs from Rivero 2009","Bulgarian",""
"1/7/2010"," Na Ivan mu se \v{s}te\v{s}te pregurne sebesi.","P Ivan dat SE want hug.3sg self","`Ivan wants to hug himself.’","","","ReflexivesPeriphrastic Impulsative","Slaven","Bulgarian",""
"1/7/2010"," *Na Ivan mu se pregusta sebesi.","P Ivan dat SE hug.3sg.imp self","`Ivan wants to hug himself’","","","Reflexives","Slaven","Bulgarian",""
"1/7/2010"," Ivan iska da pregurne sebosi.","Ivan wants to hug.3sg. self","`Ivan wants to hug himself’","","","Reflexives","Slaven","Bulgarian",""
"1/7/2010"," *Na Ivan mu se pregrusta nego.","P Ivan dat SE hug.3sg.imp him","`Ivan wants to hug him’","While my book says that the DO pronoun, Slavin says its the possessive","","Object case","Slaven","Bulgarian",""
"1/7/2010"," Ivan pregurna Joana.","Ivan hug.3sg.pst Joana","`Ivan hugged Joana.’","","","","Slaven","Bulgarian",""
"1/7/2010"," Ivan pregurna nego.","Ivan hug.3sg.pst him","`Ivan hugged him.’","","","Object Case","Slaven","Bulgarian",""
"1/7/2010"," Ivan go pregurna.","Ivan him hug.3sg.pst","`Ivan hugged him.’","","","Object case","Slaven","Bulgarian",""
"1/7/2010"," Ivan se prepurna.","Ivan SE trip.3sg.prs","Ivan trips himself.","","","Reflexive","Slaven","Bulgarian",""
"1/7/2010"," Ivan se mie.","Ivan SE wash.3sg","Ivan washes himself.","","","Reflexive","Slaven","Bulgarian",""
"1/7/2010"," Na Ivan mu se \v{s}te\v{s}te da se izmie. ","P Ivan dat SE wants to SE wash.3sg.pres","`Ivan wants to wash himself’","","","ReflexivePeriphrastic Impulsative","Slaven","Bulgarian",""
"1/7/2010"," *Na Ivan mu se mie.","P Ivan dat SE wash","`Ivan wants to wash himself.’","","","Reflexive","Slaven","Bulgarian",""
"1/7/2010"," Na decata im se pregusta\v{s}e edin druk.","P child.pl dat.pl SE hug.3sg.imp each other.","The children feel like hugging each other.","","","Reciprocal","Slaven","Bulgarian",""
"1/7/2010"," Decata se pregu\v{s}taxa edin drug.","child.pl SE hug.3pl.imp.pst each other.","The children hugged each other.","","","Reciprocal","Slaven","Bulgarian",""
"1/7/2010"," *Na Ivan mu se go pregrusta","P Ivan dat SE him hug.3sg.imp","`Ivan felt like hugging him.’","","","Object CaseClitic","Slaven","Bulgarian",""
"1/7/2010"," Na Ivan mu se pisexa pismata pres tezidva \v{c}asa.","P Ivan dat SE write.3pl.imp letters.the for an hour.","`Ivan felt like writing letters for an hour.’","","","Telicity","Slaven","Bulgarian",""
"1/7/2010"," Toy ima\v{s}ed da pi\v{s}e pisma, i izka\v{s}e da gina pi\v{s}e.","","","I have no idea what this means....","","","Slaven","Bulgarian",""
"1/7/2010"," Ivan viorva\v{s}e Diado Koleda. ","Ivan believe.imp.3sg Santa Clause.","`Ivan believed in Santa Clause.’","","","Psych Predicate","Slaven","Bulgarian",""
"1/7/2010"," Ivan viarva Diado Koleda","Ivan believe.3sg Santa Clause","`Ivan believes in Santa Clause.’`Ivan believed in Santa Clause.’","","ambiguous present or past","","Slaven","Bulgarian",""
"1/7/2010"," Ivan s\v{c}upi vazata.","Ivan break.3sg.pst vase.the","`Ivan broke the vase.’","","","Telicity","Slaven","Bulgarian",""
"1/7/2010"," Ivan \v{c}upe\v{s}e vazata.","Ivan break.3sg.imp.pst vase.the","`Ivan was breaking the vase.’","","","Telicity","","Bulgarian",""
"1/15/2010","pregurna Joana","hug.3sg Joana","","","","Subject Drop","","Bulgarian",""
"1/15/2010"," pregurna ya","hug her","","","","Subject Drop","","Bulgarian",""
"1/15/2010","Ivan *(ya) pregurna ","Ivan her hug","`Ivan hugs her.’","","","Object Drop","","Bulgarian",""
"1/15/2010"," *(Toy) se prepurna","he SE trip.3sg.pres","`He tripped himself.’","","","Subject Drop","","Bulgarian",""
"1/15/2010","Na Ivan mu se pishexa mnogo statii.","P Ivan dat SE write.3sg.imp many articles","`Ivan felt like writing many articles’","","","word order flexibility","","Bulgarian",""
"1/15/2010"," Mnogo statii mu se pisexa na Ivan.","many articles P Ivan dat SE write.3sg.imp","`Ivan felt like writing many articles’","","","word order flexibility","","Bulgarian",""
